Text,Code
/* add a door */,"const closedPos: Quaternion = Quaternion.Euler(0, 0, 0)

// Add actual door to scene. This entity doesn't rotate, its parent drags it with it.
const door = new Entity()
door.addComponent(
  new Transform({
    position: new Vector3(0.5, 0, 0),
    scale: new Vector3(1, 2, 0.05)
  })
)
door.addComponent(new BoxShape())
engine.addEntity(door)

// Define a material to color the door red
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.Red()
doorMaterial.metallic = 0.9
doorMaterial.roughness = 0.1

// Assign the material to the door
door.addComponent(doorMaterial)

// Define wrapper entity to rotate door. This is the entity that actually rotates.
const doorPivot = new Entity()
doorPivot.addComponent(
  new Transform({
    position: new Vector3(4, 1, 3),
    rotation: closedPos
  })
)
//doorPivot.addComponent(new DoorState())
engine.addEntity(doorPivot)

// Set the door as a child of doorPivot
door.setParent(doorPivot)"
/* create table */,"// create and entity
const table = new Entity()

// transform the position of the table
table.addComponentOrReplace(new Transform({
  position: new Vector3(5, 0, 5),
  scale: new Vector3(3, 1, 3)
}))
table.addComponentOrReplace(new BoxShape())

// add table to the scene
engine.addEntity(table)"
/* create a sign */,"
const sign = new Entity()
sign.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5)
}))
sign.addComponent(new TextShape(""Welcome to Decentraland!""))

// Define a material to color the sign red
const signMaterial = new Material()
signMaterial.albedoColor = Color3.Red()

// Assign the material to the door
sign.addComponent(signMaterial)

engine.addEntity(sign)"
/* create phone */,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* remove box */,"// Create an entity
const box = new Entity()

// Give the entity a shape
box.addComponent(new BoxShape())

// Add the entity to the engine
engine.addEntity(box)
// Remove an entity from the engine
engine.removeEntity(box)"
/* nft frame */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* fixed wall */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* create ground */,"// ground
const floor = new Entity()
floor.addComponent(new GLTFShape('models/FloorBaseGrass.glb'))
floor.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(1.6, 0.1, 1.6),
  })
)
engine.addEntity(floor)"
/* door material */,"// Define a material to color the door sides red
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.Red()
doorMaterial.metallic = 0.9
doorMaterial.roughness = 0.1"
/* defining door positions */,"// Define open and closed positions for both door sides
const doorLClosed = new Vector3(0.5, 0, 0)
const doorLOpen = new Vector3(1.25, 0, 0)
const doorRClosed = new Vector3(-0.5, 0, 0)
const doorROpen = new Vector3(-1.25, 0, 0)"
/* creating door parent */,"// This parent entity holds the state for both door sides
const doorParent = new Entity()
doorParent.addComponent(
  new Transform({
    position: new Vector3(4, 1, 3)
  })
)"
/* add physics component to object */,"function createObject() {
  const object = new Entity('object')
  engine.addEntity(object)
  return object
}

const object = createObject();

//Add a BoxCollider component to the object Entity
const colliderComponent = new BoxCollider()
object.addComponent(colliderComponent)

//Add a RigidBody component to the object Entity
const rigidBodyComponent = new RigidBody()
object.addComponent(rigidBodyComponent)"
/* song list */ ,"
// Define song list
const songs: { src: string; name: string }[] = [
  { src: '', name: 'Telemann' },
  { src: '', name: 'Bach' },
  { src: '', name: 'Brahms' },
  { src: '', name: 'Chopin' },
]"
/* jukebox from gltf */ ,"// Jukebox
const jukebox = new Entity()
jukebox.addComponent(new GLTFShape('models/Jukebox.gltf'))
jukebox.addComponent(
  new Transform({
    position: new Vector3(5, 0, 9.5),
    rotation: Quaternion.Euler(0, 180, 0),
    scale: new Vector3(0.6, 0.6, 0.6),
  })
)
engine.addEntity(jukebox)"
/* create a custom wheels component */,"// Custom component to handle wheel spinning
@Component('wheelSpin')
export class WheelSpin {
  active: boolean = false
  speed: number = 0
  direction: Vector3 = Vector3.Up()
}"
/* scene from theater glb */,"// Environment
const stage = new Entity()
stage.addComponent(new GLTFShape('models/Theatre.glb'))
stage.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    rotation: Quaternion.Euler(0, 270, 0),
    scale: new Vector3(0.9, 1, 0.9),
  })
)
engine.addEntity(stage)"
/* create a wheel */,"// Create wheel entities
const wheel = new Entity()
wheel.addComponent(new CylinderShape())
wheel.addComponent(
  new Transform({
    position: new Vector3(6, 2, 11.1),
    rotation: Quaternion.Euler(90, 0, 0),
    scale: new Vector3(1, 0.05, 1),
  })
)
engine.addEntity(wheel)"
/* create a texture */ ,"// Create texture
const spiralTexture = new Texture('')

// Create material
const spiralMaterial = new Material()
spiralMaterial.albedoTexture = spiralTexture"
/* scene model from underwater.gltf */,"// Add 3D model for scenery
const seaBed = new Entity()
seaBed.addComponent(new GLTFShape('models/Underwater.gltf'))
seaBed.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(seaBed)"
/* generate plane */,"const plane = new Entity()
plane.addComponentOrReplace(new Transform({
  position: new Vector3(4, 4, 4),
  scale: new Vector3(10, 1, 10)
}))
plane.addComponentOrReplace(new PlaneShape())
engine.addEntity(plane)"
/* shark */,"// Add Shark
const shark = new Entity()
shark.addComponent(new GLTFShape('models/shark.glb'))
shark.addComponent(
  new Transform({
    position: new Vector3(8, 3, 8),
  })
)
engine.addEntity(shark)"
/* create fire */ ,"// add fireplace
const fire = new Entity()
fire.addComponent(new GLTFShape('models/Fireplace.glb'))
fire.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8)
  })
)"
/* add smoke */ ,"// Add a smoke source that creates a smoke puff every 0.2 seconds
fire.addComponent(new SmokeSource(0.2))
engine.addEntity(fire)"
"/* Script that creates a door that opens and closes when clicked, needs models/door.glb */","// import utils
import * as utils from '@dcl/ecs-scene-utils'

// create a door entity that opens and closes when clicked
const door = new Entity()
door.addComponent(new GLTFShape('models/door.glb'))
door.addComponent(new Transform({
   position: new Vector3(10, 0, 10)
}))
door.addComponent(new OnClick(e => {
   if (door.getComponent(Transform).rotation.eulerAngles.y === 0) {
      // door is closed, open it
      door.addComponent(new utils.RotateTransformComponent(new Vector3(0, 90, 0), 1)) // rotate 90 degrees in 1 second
   } else {
      // door is open, close it
      door.addComponent(new utils.RotateTransformComponent(new Vector3(0, -90, 0), 1)) // rotate -90 degrees in 1 second
   }
}))

// add the door to the scene
engine.addEntity(door)
"
/* create a class */,"class MyBox extends Entity {
  constructor(position: Vector3) {
    super()
    this.addComponentOrReplace(
      new Transform({
        position,
        rotation: Quaternion.Euler(0, 0, 0),
        scale: new Vector3(1, 1, 1)
      })
    )

    this.addComponentOrReplace(new BoxShape())
  }
}

const myBox = new MyBox(new Vector3(5, 0, 5))

engine.addEntity(myBox)"
/* add pathfinding component to object */,"function createObject() {
  const object = new Entity('object')
  engine.addEntity(object)
  return object
}

const object = createObject();

//Add a Pathfinding component to the object Entity
const pathfindingComponent = new Pathfinding()
object.addComponent(pathfindingComponent)"
/* add text label to scene */,"function createTextLabel() {
  const textLabel = new Entity('textLabel')
  engine.addEntity(textLabel)
  return textLabel
}

const textLabel = createTextLabel();

//Add a TextShape component to the textLabel Entity
const textShape = new TextShape(""Hello, world!"")
textLabel.addComponent(textShape)"
/* add user interface element */,"function createUIElement() {
  const uiElement = new Entity('uiElement')
  engine.addEntity(uiElement)
  return uiElement
}

const uiElement = createUIElement();

//Add a UICanvas component to the uiElement Entity
const canvasComponent = new UICanvas()
uiElement.addComponent(canvasComponent)

//Add a UIImage component to the uiElement Entity
const imageComponent = new UIImage(canvasComponent)
uiElement.addComponent(imageComponent)
"
/* function example */,"function greet(name: string): void {
  log(""Hello, "" + name + ""!"")
}

greet(""John"") // Output: ""Hello, John!"""
/* sum function example */,"function sum(a: number, b: number): number {
  return a + b;
}

console.log(sum(2, 3)); // Output: 5
"
/* capitalize function example */,"function capitalize(word: string): string {
  return word.charAt(0).toUpperCase() + word.slice(1);
}

console.log(capitalize(""hello"")); // Output: ""Hello"""
/* function for fibonnachi */,"function getFibonacciSequence(length: number): number[] {
  const sequence = [0, 1];
  for (let i = 2; i < length; i++) {
    sequence.push(sequence[i - 2] + sequence[i - 1]);
  }
  return sequence;
}

console.log(getFibonacciSequence(10)); // Output: [0, 1, 1, 2, 3, 5, 8, 13, 21, 34]"
/* function for longest word */,"function getLongestWord(words: string[]): string {
  return words.reduce((longest, current) => current.length > longest.length ? current : longest);
}

console.log(getLongestWord([""hello"", ""world"", ""goodbye""])); // Output: ""goodbye"""
/* function to get even numbers */,"function getEvenNumbers(nums: number[]): number[] {
  return nums.filter(num => num % 2 === 0);
}

console.log(getEvenNumbers([1, 2, 3, 4, 5])); // Output: [2, 4]
"
/* function to get first N primes */,"function getFirstNPrimes(n: number): number[] {
  const primes = [];
  let num = 2;
  while (primes.length < n) {
    if (isPrime(num)) {
      primes.push(num);
    }
    num++;
  }
  return primes;
}

function isPrime(num: number): boolean {
  if (num < 2) {
    return false;
  }
  for (let i = 2; i <= Math.sqrt(num); i++) {
    if (num % i === 0) {
      return false;
    }
  }
  return true;
}

console.log(getFirstNPrimes(5)); // Output: [2, 3, 5, 7, 11]"
/* function for averages */,"function getAverage(nums: number[]): number {
  const sum = nums.reduce((a, b) => a + b);
  return sum / nums.length;
}

console.log(getAverage([1, 2, 3, 4, 5])); // Output: 3"
/* function to check evenness */,"function isEven(num: number): boolean {
  return num % 2 === 0;
}

console.log(isEven(4)); // Output: true"
/* factorial function */,"function getFactorial(num: number): number {
  if (num <= 1) {
    return 1;
  } else {
    return num * getFactorial(num - 1);
  }
}

console.log(getFactorial(5)); // Output: 120
"
/* reverse string function */,"function reverseString(str: string): string {
  return str.split("""").reverse().join("""");
}

console.log(reverseString(""hello"")); // Output: ""olleh"""
/* add sprite to scene */,"function createSprite() {
  const sprite = new Entity('sprite')
  engine.addEntity(sprite)
  return sprite
}

const sprite = createSprite();

//Add a Sprite component to the sprite Entity
const spriteComponent = new Sprite()
sprite.addComponent(spriteComponent)"
/* function to create a 'door' entity */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}"
/* add a shape to the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//Add a shape component to the door Entity
const doorShape = new BoxShape()
door.addComponent(doorShape)"
/* add material to the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a material component to the door Entity
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.FromHexString(""#8B5E3C"")
door.addComponent(doorMaterial)"
/* transform the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//  Create a Transform component to position the door
const doorTransform = new Transform({
  position: new Vector3(8, 0, 8),
  scale: new Vector3(1, 2, 0.5)
})
door.addComponent(doorTransform)"
/* function to open and close the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a function to open and close the door
function toggleDoor() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
  } else {
    doorTransform.rotation.y = 0
  }
}"
/* function for interacting with the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a function to open and close the door
function toggleDoor() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
  } else {
    doorTransform.rotation.y = 0
  }
}

// Create a clicking event to trigger the toggleDoor function
door.addComponent(
  new OnClick(() => {
    toggleDoor()
  })
)"
/* on door hover */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a hover event to change the door material when hovered over
door.addComponent(
  new OnPointerHoverEnter(() => {
    doorMaterial.albedoColor = Color3.FromHexString(""#A0522D"")
  })
)
door.addComponent(
  new OnPointerHoverExit(() => {
    doorMaterial.albedoColor = Color3.FromHexString(""#8B5E3C"")
  })
)"
/* function the add sound to the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)"
/* function for sound when door opens and closes */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}"
/* play sound when the door opens */,"const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}

// Update the OnClick event to trigger the toggleDoorWithSound function
door.addComponent(
  new OnClick(() => {
    toggleDoorWithSound()
  })
)"
/* create player */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* shooting range score entity */,"export class Score extends Entity {
  constructor(model: GLTFShape, position: Vector3, rotation: Quaternion, scale: Vector3) {
    super()
    engine.addEntity(this)
    this.addComponent(model)
    this.addComponent(new Transform({ position, rotation, scale }))
    this.addComponent(new TextShape('Score: 0')) // Display the score
  }
}
"
/* add movement to the player */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a movement component to the player
const playerMovement = new MoveTransformComponent(new Vector3(0, 0, 10), new Vector3(0, 0, 10),
5);
player.addComponentOrReplace(playerMovement);"
/* clickable plane */,"const plane = new Entity()
plane.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
plane.addComponent(new PlaneShape())
plane.addComponent(new OnClick(e => {
  log('Plane was clicked!')
}))

engine.addEntity(plane)"
/* changing color sphere onClick */,"const sphere = new Entity()
sphere.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
sphere.addComponent(new SphereShape())
sphere.addComponent(new Material())

const originalColor = new Color3(1, 0, 0)
sphere.getComponent(Material).albedoColor = originalColor

sphere.addComponent(new OnClick(e => {
  const material = sphere.getComponent(Material)
  material.albedoColor = (material.albedoColor === (originalColor)) ? new Color3(0, 1, 0) : originalColor
}))

engine.addEntity(sphere)"
/* creating a animator */,"const box = new Entity()
box.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
box.addComponent(new BoxShape())

const animator = new Animator()
box.addComponent(animator)"
/* create water */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* adding screen space UI */,"// Create screenspace component
const canvas = new UICanvas()

// Create a textShape component, setting the canvas as parent
const text = new UIText(canvas)
text.value = ""Hello world!"""
/* positioning for screen space UI */,"const canvas = new UICanvas()

const message = new UIText(canvas)
message.value = ""Close UI""
message.fontSize = 15
message.width = 120
message.height = 30
message.vAlign = ""bottom""
message.positionX = -80"
/* create lamp from gltf */,"const lamp = new Entity()
lamp.addComponent(new GLTFShape('models/Lamp.gltf'))
lamp.addComponent(
  new Transform({
    position: new Vector3(12, 0, 10),
    rotation: Quaternion.Euler(0, 180, 0),
    scale: new Vector3(0.4, 0.4, 0.4),
  })
)
engine.addEntity(lamp)
"
/* create capsule */,"const capsule = new Entity()
capsule.addComponentOrReplace(new Transform({
  position: new Vector3(1, 2, 3)
}))
capsule.addComponentOrReplace(new CapsuleShape())
engine.addEntity(capsule)"
/* parent elements for organization */,"const canvas = new UICanvas()

const inventoryContainer = new UIContainerStack(canvas)
inventoryContainer.adaptWidth = true
inventoryContainer.width = ""40%""
inventoryContainer.positionY = 100
inventoryContainer.positionX = 10
inventoryContainer.color = Color4.White()
inventoryContainer.hAlign = ""left""
inventoryContainer.vAlign = ""top""
inventoryContainer.stackOrientation = UIStackOrientation.VERTICAL"
/* adding transparency to screen space UI */,"const canvas = new UICanvas()

const rect = new UIContainerRect(canvas)
rect.width = ""100%""
rect.height = ""100%""
rect.color = Color4.Blue()
rect.opacity = 0.5"
/* color to text in screen space */,"const canvas = new UICanvas()

const myText = new UIText(canvas)
myText.value = ""Hello""
myText.font = new Font(Fonts.SansSerif)
myText.fontSize = 20
myText.positionX = ""15px""
myText.color = Color4.Blue()"
/* shooting range game manager */,"import * as utils from '@dcl/ecs-scene-utils'

export class ShootingRangeGameManager {
  private score = 0
  private timeLeft = 60
  private timerEntity: Timer
  private scoreEntity: Score
  private leaderboardEntity: Leaderboard
  private player: Camera

  constructor(player: Camera) {
    this.player = player
    const timerModel = new GLTFShape('models/timer.glb')
    const scoreModel = new GLTFShape('models/score.glb')
    const leaderboardModel = new GLTFShape('models/leaderboard.glb')
    this.timerEntity = new Timer(timerModel, new Vector3(0, 2, -10), Quaternion.Identity, new Vector3(0.5, 0.5, 0.5))
    this.scoreEntity = new Score(scoreModel, new Vector3(-10, 2, 0), Quaternion.Identity, new Vector3(0.5, 0.5, 0.5))
    this.leaderboardEntity = new Leaderboard(leaderboardModel, new Vector3(10,"
/* font style to text in screen space */,"const canvas = new UICanvas()

const myText = new UIText(canvas)
myText.value = ""Hello""
myText.font = new Font(Fonts.SansSerif)
myText.fontSize = 20
myText.positionX = ""15px""
myText.color = Color4.Blue()
const sfFont = new Font(Fonts.SansSerif)

myText.font = sfFont

const myText2 = new UIText(canvas)
myText2.value = ""World""
myText2.font = sfFont"
/* multiline text in screen space */,"const canvas = new UICanvas()

const myText = new UIText(canvas)
myText.value =
  ""Hello World, this message is quite long and won't fit in a single line. I hope that's not a problem.""
myText.fontSize = 20
myText.adaptWidth = false
myText.textWrapping = true
myText.width = 100"
/* multiline text with line break */,"// create new canvas to have the text
const canvas = new UICanvas()

// create a new text element
const myText = new UIText(canvas)

// assign value to the text with line breaks
myText.value =
  ""Hello World,\nthis message is quite long and won't fit in a single line.\nI hope that's not a problem.""
myText.fontSize = 20"
/*Pulling in images from an atlas image */,"// set texture image
let imageAtlas = ""images/UI-atlas.png""
let imageTexture = new Texture(imageAtlas)

// create a new canvas
const canvas = new UICanvas()

/*
The UIImage component has the following fields to crop a sub-section of the original image:

sourceTop: the y coordinate, in pixels, of the top of the selection
sourceLeft: the x coordinate, in pixels, of the left side of the selection.
sourceWidth: the width, in pixels, of the selected area
sourceHeight: the height, in pixels, of the selected area
*/


const playButton = new UIImage(canvas, imageTexture)
playButton.sourceLeft = 26
playButton.sourceTop = 128
playButton.sourceWidth = 128
playButton.sourceHeight = 128

const startButton = new UIImage(canvas, imageTexture)
startButton.sourceLeft = 183
startButton.sourceTop = 128
startButton.sourceWidth = 128
startButton.sourceHeight = 128

const exitButton = new UIImage(canvas, imageTexture)
exitButton.sourceLeft = 346
exitButton.sourceTop = 128
exitButton.sourceWidth = 128
exitButton.sourceHeight = 128

const expandButton = new UIImage(canvas, imageTexture)
expandButton.sourceLeft = 496
expandButton.sourceTop = 128
expandButton.sourceWidth = 128
expandButton.sourceHeight = 128"
/* clickable UI elements */,"const canvas = new UICanvas()

const clickableImage = new UIImage(canvas, new Texture(""icon.png""))
clickableImage.name = ""clickable-image""
clickableImage.width = ""92px""
clickableImage.height = ""91px""
clickableImage.sourceWidth = 92
clickableImage.sourceHeight = 91
clickableImage.isPointerBlocker = true
clickableImage.onClick = new OnPointerDown(() => {
  // DO SOMETHING
})"
/* input boxes */,"// create canvas
const canvas = new UICanvas()

/*
Input boxes can be added to the UI to provide a place to type 
in text. You add a text box with an UIInputText component. 
Players must first click on this box before they can write into it.
*/
const textInput = new UIInputText(canvas)
textInput.width = ""80%""
textInput.height = ""25px""
textInput.vAlign = ""bottom""
textInput.hAlign = ""center""
textInput.fontSize = 10
textInput.placeholder = ""Write message here""
textInput.positionY = ""200px""
textInput.isPointerBlocker = true

textInput.onTextSubmit = new OnTextSubmit((x) => {
  const text = new UIText(textInput)
  text.value = ""<USER-ID> "" + x.text
  text.width = ""100%""
  text.height = ""20px""
  text.vAlign = ""top""
  text.hAlign = ""left""
})"
/* open the UI */,"const canvas = new UICanvas()

const uiTrigger = new Entity()

const transform = new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.3, 0.3, 0.3),
})
uiTrigger.addComponent(transform)

/*
Set the visible property of the main UICanvas component that wraps 
the UI to true or false.

If the UI is clickable, or has clickable parts, you should also set 
the isPointerBlocker property to true or false, so that the player can 
freely click in the world space when the UI is not on the way.
*/
uiTrigger.addComponent(
  new OnPointerDown(() => {
    canvas.visible = true
    canvas.isPointerBlocker = true
  })
)

uiTrigger.addComponent(new BoxShape())
engine.addEntity(uiTrigger)"
/* clost the UI */,"const canvas = new UICanvas()

/*  to close the UI automatically when a specific event occurs, 
for example when a new match of a game starts.

set the visible property of the main UIScreenSpace component that wraps the UI to false.
*/
const close = new UIImage(canvas, new Texture(""icon.png""))
close.name = ""clickable-image""
close.width = ""120px""
close.height = ""30px""
close.sourceWidth = 92
close.sourceHeight = 91
close.vAlign = ""bottom""
close.isPointerBlocker = true
close.onClick = new OnPointerDown(() => {
  log(""clicked on the close image"")
  canvas.visible = false
  canvas.isPointerBlocker = false
})"
/* add a timer to the scene */,"function createTimer() {
  const timer = new Entity('timer')
  engine.addEntity(timer)
  return timer
}

const timer = createTimer();

//Add a Timer component to the timer Entity
const timerComponent = new Timer(10, () => {
  log(""Timer expired!"")
})
timer.addComponent(timerComponent)"
/* create emote */,"const canvas = new UICanvas()

const uiTrigger = new Entity()

const transform = new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.3, 0.3, 0.3),
})
uiTrigger.addComponent(transform)

/*
Set the visible property of the main UICanvas component that wraps 
the UI to true or false.

If the UI is clickable, or has clickable parts, you should also set 
the isPointerBlocker property to true or false, so that the player can 
freely click in the world space when the UI is not on the way.
*/
uiTrigger.addComponent(
  new OnPointerDown(() => {
    canvas.visible = true
    canvas.isPointerBlocker = true
  })
)

uiTrigger.addComponent(new BoxShape())
engine.addEntity(uiTrigger)"
/* setting parent entity */,"// Create entities
const parentEntity = new Entity()
engine.addEntity(parentEntity)

const childEntity = new Entity()

// Set parent
childEntity.setParent(parentEntity)"
/* configure component and add it to an entity */,"// Create entity
const box = new Entity()
engine.addEntity(box)

// Create component
const myMaterial = new Material()

// Configure component
myMaterial.albedoColor = Color3.Red()

// Add component
box.addComponent(myMaterial)"
/* configure component inside an entity */,"// Create entity
const box = new Entity()
engine.addEntity(box)

// Create and add component
box.addComponent(new Material())

// Configure component
box.getComponent(Material).albedoColor = Color3.Red()"
/* access a component from an entity */,"// Create entity and component
const box = new Entity()

// Create and add component
box.addComponent(new Transform())

// Using get
let transform = box.getComponent(Transform)

// Edit values in the component
transform.position = new Vector3(5, 0, 5)"
/* modifies transform component */,"// Create entity and component
const box = new Entity()

// Create and add component
box.addComponent(new Transform())

// Using get
let transform = box.getComponent(Transform)

// Edit values in the component
transform.position = new Vector3(5, 0, 5)

box.getComponent(Transform).scale.x = Math.random() * 10"
/* create a bookshelf entity */,"const bookshelf = new Entity()
bookshelf.addComponent(new GLTFShape('models/Bookshelf.gltf'))
bookshelf.addComponent(
  new Transform({
    position: new Vector3(8, 0, 7),
    rotation: Quaternion.Euler(0, 270, 0),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(bookshelf)
"
