Prompt,Code
/* nft frame */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a function to open and close the door
function toggleDoor() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
  } else {
    doorTransform.rotation.y = 0
  }
}"
/* create fire */ ,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* create water */,"// create the entity 
const plane = new Entity()

// transform the entity to give it a position
plane.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
plane.addComponentOrReplace(new PlaneShape())

// render entity in scene
engine.addEntity(plane)"
/* add material to the door */,"// Add 3D model for scenery
const seaBed = new Entity()
seaBed.addComponent(new GLTFShape('models/Underwater.gltf'))
seaBed.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(seaBed)"
/* transform the door */,"/// --- Spawner function ---

function spawnCube(x: number, y: number, z: number) {
  // create the entity
  const cube = new Entity()

  // add a transform to the entity
  cube.addComponent(new Transform({ position: new Vector3(x, y, z) }))

  // add a shape to the entity
  cube.addComponent(new BoxShape())

  // add the entity to the engine
  engine.addEntity(cube)

  return cube
}

/// --- Spawn a cube ---

const cube = spawnCube(8, 1, 8)

cube.addComponent(
  new OnPointerDown(() => {
    cube.getComponent(Transform).scale.z *= 1.1
    cube.getComponent(Transform).scale.x *= 0.9

    spawnCube(Math.random() * 8 + 1, Math.random() * 8, Math.random() * 8 + 1)
  })
)"
/* scene from theater glb */,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* creating a animator */,"// create the entity 
const c = new Entity()

// transform the entity to give it a position
c.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
c.addComponentOrReplace(new CylinderShape())

// render entity in scene
engine.addEntity(c)"
/* function to play sound when the door opens */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//Add a shape component to the door Entity
const doorShape = new BoxShape()
door.addComponent(doorShape)"
/* clickable plane */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* add movement to the player */,"// Define a material to color the door sides red
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.Red()
doorMaterial.metallic = 0.9
doorMaterial.roughness = 0.1"
/* function for sound when door opens and closes */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* shark */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* song list */ ,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* changing color sphere onClick */,
/* song list */ ,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* create a custom wheels component */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* function to open and close the door */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* function to play sound when the door opens */,"/// --- Spawner function ---

function spawnCube(x: number, y: number, z: number) {
  // create the entity
  const cube = new Entity()

  // add a transform to the entity
  cube.addComponent(new Transform({ position: new Vector3(x, y, z) }))

  // add a shape to the entity
  cube.addComponent(new BoxShape())

  // add the entity to the engine
  engine.addEntity(cube)

  return cube
}

/// --- Spawn a cube ---

const cube = spawnCube(8, 1, 8)

cube.addComponent(
  new OnPointerDown(() => {
    cube.getComponent(Transform).scale.z *= 1.1
    cube.getComponent(Transform).scale.x *= 0.9

    spawnCube(Math.random() * 8 + 1, Math.random() * 8, Math.random() * 8 + 1)
  })
)"
/* create avocado */,"const plane = new Entity()
plane.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
plane.addComponent(new PlaneShape())
plane.addComponent(new OnClick(e => {
  log('Plane was clicked!')
}))

engine.addEntity(plane)"
/* create a sphere */,"function greet(name: string): void {
  log(""Hello, "" + name + ""!"")
}

greet(""John"") // Output: ""Hello, John!"""
/* function for interacting with the door */,"/// --- Spawner function ---

function spawnCube(x: number, y: number, z: number) {
  // create the entity
  const cube = new Entity()

  // add a transform to the entity
  cube.addComponent(new Transform({ position: new Vector3(x, y, z) }))

  // add a shape to the entity
  cube.addComponent(new BoxShape())

  // add the entity to the engine
  engine.addEntity(cube)

  return cube
}

/// --- Spawn a cube ---

const cube = spawnCube(8, 1, 8)

cube.addComponent(
  new OnPointerDown(() => {
    cube.getComponent(Transform).scale.z *= 1.1
    cube.getComponent(Transform).scale.x *= 0.9

    spawnCube(Math.random() * 8 + 1, Math.random() * 8, Math.random() * 8 + 1)
  })
)"
/* fixed wall */,"// Add 3D model for scenery
const seaBed = new Entity()
seaBed.addComponent(new GLTFShape('models/Underwater.gltf'))
seaBed.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(seaBed)"
/* shark */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}"
/* function for sound when door opens and closes */,
/* on door hover */,"// Add a smoke source that creates a smoke puff every 0.2 seconds
fire.addComponent(new SmokeSource(0.2))
engine.addEntity(fire)"
/* create table */,"// Define a material to color the door sides red
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.Red()
doorMaterial.metallic = 0.9
doorMaterial.roughness = 0.1"
/* jukebox from gltf */ ,"// create variable to hold cylinder
const cylinder = new Entity()

// we transform the component to set the position
// of the sphere in the scene
cylinder.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))
cylinder.addComponentOrReplace(new CylinderShape())


// add the sphere to the scene
engine.addEntity(cylinder)"
/* changing color sphere onClick */,"/* At the end of your scene’s index.ts file, add the following lines: */`
let avocado = engine.addEntity()

GltfContainer.create(avocado, {src: (""models/avocado.gltf""})

Transform.create(avocado, {
          position:  Vector3.create(3, 1, 3),
          scale: Vector3.create(10, 10, 10)
})"
/* create box */ ,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}"
/* clickable plane */,"// This parent entity holds the state for both door sides
const doorParent = new Entity()
doorParent.addComponent(
  new Transform({
    position: new Vector3(4, 1, 3)
  })
)"
/* create a custom wheels component */,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* create player */,"// create variable to hold cylinder
const cylinder = new Entity()

// we transform the component to set the position
// of the sphere in the scene
cylinder.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))
cylinder.addComponentOrReplace(new CylinderShape())


// add the sphere to the scene
engine.addEntity(cylinder)"
/* create a sign */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//Add a shape component to the door Entity
const doorShape = new BoxShape()
door.addComponent(doorShape)"
/* create cylinder */,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* create table */,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* add smoke */ ,"// create the entity 
const cone = new Entity()

// transform the entity to give it a position
cone.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
cone.addComponentOrReplace(new ConeShape())

// render entity in scene
engine.addEntity(cone)"
/* scene model from underwater.gltf */,
/* changing color sphere onClick */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* create water */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}"
/* fixed wall */,"/// --- Spawner function ---

function spawnCube(x: number, y: number, z: number) {
  // create the entity
  const cube = new Entity()

  // add a transform to the entity
  cube.addComponent(new Transform({ position: new Vector3(x, y, z) }))

  // add a shape to the entity
  cube.addComponent(new BoxShape())

  // add the entity to the engine
  engine.addEntity(cube)

  return cube
}

/// --- Spawn a cube ---

const cube = spawnCube(8, 1, 8)

cube.addComponent(
  new OnPointerDown(() => {
    cube.getComponent(Transform).scale.z *= 1.1
    cube.getComponent(Transform).scale.x *= 0.9

    spawnCube(Math.random() * 8 + 1, Math.random() * 8, Math.random() * 8 + 1)
  })
)"
/* function for interacting with the door */,"// Define open and closed positions for both door sides
const doorLClosed = new Vector3(0.5, 0, 0)
const doorLOpen = new Vector3(1.25, 0, 0)
const doorRClosed = new Vector3(-0.5, 0, 0)
const doorROpen = new Vector3(-1.25, 0, 0)"
/* create a texture */ ,"// Custom component to handle wheel spinning
@Component('wheelSpin')
export class WheelSpin {
  active: boolean = false
  speed: number = 0
  direction: Vector3 = Vector3.Up()
}"
/* function the add sound to the door */,"// Jukebox
const jukebox = new Entity()
jukebox.addComponent(new GLTFShape('models/Jukebox.gltf'))
jukebox.addComponent(
  new Transform({
    position: new Vector3(5, 0, 9.5),
    rotation: Quaternion.Euler(0, 180, 0),
    scale: new Vector3(0.6, 0.6, 0.6),
  })
)
engine.addEntity(jukebox)"
/* create plane */,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* add a shape to the door */,"const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}

// Update the OnClick event to trigger the toggleDoorWithSound function
door.addComponent(
  new OnClick(() => {
    toggleDoorWithSound()
  })
)"
/* changing color sphere onClick */,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* nft frame */,"// Create texture
const spiralTexture = new Texture('')

// Create material
const spiralMaterial = new Material()
spiralMaterial.albedoTexture = spiralTexture"
/* create a cylinder */,"// Environment
const stage = new Entity()
stage.addComponent(new GLTFShape('models/Theatre.glb'))
stage.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    rotation: Quaternion.Euler(0, 270, 0),
    scale: new Vector3(0.9, 1, 0.9),
  })
)
engine.addEntity(stage)"
/* create a class */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//  Create a Transform component to position the door
const doorTransform = new Transform({
  position: new Vector3(8, 0, 8),
  scale: new Vector3(1, 2, 0.5)
})
door.addComponent(doorTransform)"
/* create a cylinder */,"// Add 3D model for scenery
const seaBed = new Entity()
seaBed.addComponent(new GLTFShape('models/Underwater.gltf'))
seaBed.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(seaBed)"
/* create cylinder */,"const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}

// Update the OnClick event to trigger the toggleDoorWithSound function
door.addComponent(
  new OnClick(() => {
    toggleDoorWithSound()
  })
)"
/* spawn a cube */,"// Add 3D model for scenery
const seaBed = new Entity()
seaBed.addComponent(new GLTFShape('models/Underwater.gltf'))
seaBed.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(seaBed)"
/* create player */,"function greet(name: string): void {
  log(""Hello, "" + name + ""!"")
}

greet(""John"") // Output: ""Hello, John!"""
/* create phone */,"// create variable to hold cylinder
const cylinder = new Entity()

// we transform the component to set the position
// of the sphere in the scene
cylinder.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))
cylinder.addComponentOrReplace(new CylinderShape())


// add the sphere to the scene
engine.addEntity(cylinder)"
/* transform the door */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* create table */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}"
/* create a custom wheels component */,"// create the entity 
const box = new Entity()

// transform the entity to give it a position
box.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
box.addComponentOrReplace(new BoxShape())

// render entity in scene
engine.addEntity(box)"
/* function for interacting with the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//  Create a Transform component to position the door
const doorTransform = new Transform({
  position: new Vector3(8, 0, 8),
  scale: new Vector3(1, 2, 0.5)
})
door.addComponent(doorTransform)"
/* create a wheel */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//  Create a Transform component to position the door
const doorTransform = new Transform({
  position: new Vector3(8, 0, 8),
  scale: new Vector3(1, 2, 0.5)
})
door.addComponent(doorTransform)"
/* function for interacting with the door */,"// Add Shark
const shark = new Entity()
shark.addComponent(new GLTFShape('models/shark.glb'))
shark.addComponent(
  new Transform({
    position: new Vector3(8, 3, 8),
  })
)
engine.addEntity(shark)"
/* song list */ ,"// create the entity 
const box = new Entity()

// transform the entity to give it a position
box.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
box.addComponentOrReplace(new BoxShape())

// render entity in scene
engine.addEntity(box)"
/* create text */,"// create the entity 
const plane = new Entity()

// transform the entity to give it a position
plane.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
plane.addComponentOrReplace(new PlaneShape())

// render entity in scene
engine.addEntity(plane)"
/* function to create a door entity */,"// This parent entity holds the state for both door sides
const doorParent = new Entity()
doorParent.addComponent(
  new Transform({
    position: new Vector3(4, 1, 3)
  })
)"
/* shark */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//  Create a Transform component to position the door
const doorTransform = new Transform({
  position: new Vector3(8, 0, 8),
  scale: new Vector3(1, 2, 0.5)
})
door.addComponent(doorTransform)"
/* create a class */,"// ground
const floor = new Entity()
floor.addComponent(new GLTFShape('models/FloorBaseGrass.glb'))
floor.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(1.6, 0.1, 1.6),
  })
)
engine.addEntity(floor)"
/* create cone */,"class MyBox extends Entity {
  constructor(position: Vector3) {
    super()
    this.addComponentOrReplace(
      new Transform({
        position,
        rotation: Quaternion.Euler(0, 0, 0),
        scale: new Vector3(1, 1, 1)
      })
    )

    this.addComponentOrReplace(new BoxShape())
  }
}

const myBox = new MyBox(new Vector3(5, 0, 5))

engine.addEntity(myBox)"
/* create a custom wheels component */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* function for sound when door opens and closes */,"// Add a smoke source that creates a smoke puff every 0.2 seconds
fire.addComponent(new SmokeSource(0.2))
engine.addEntity(fire)"
/* create a custom wheels component */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* creating door parent */,"const plane = new Entity()
plane.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
plane.addComponent(new PlaneShape())
plane.addComponent(new OnClick(e => {
  log('Plane was clicked!')
}))

engine.addEntity(plane)"
/* on door hover */,"
// Define song list
const songs: { src: string; name: string }[] = [
  { src: '', name: 'Telemann' },
  { src: '', name: 'Bach' },
  { src: '', name: 'Brahms' },
  { src: '', name: 'Chopin' },
]"
/* create water */,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* create player */,
/* create a sign */,"// Add 3D model for scenery
const seaBed = new Entity()
seaBed.addComponent(new GLTFShape('models/Underwater.gltf'))
seaBed.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(seaBed)"
/* clickable plane */,"// Jukebox
const jukebox = new Entity()
jukebox.addComponent(new GLTFShape('models/Jukebox.gltf'))
jukebox.addComponent(
  new Transform({
    position: new Vector3(5, 0, 9.5),
    rotation: Quaternion.Euler(0, 180, 0),
    scale: new Vector3(0.6, 0.6, 0.6),
  })
)
engine.addEntity(jukebox)"
/* remove box */,"const sphere = new Entity()
sphere.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
sphere.addComponent(new SphereShape())
sphere.addComponent(new Material())

const originalColor = new Color3(1, 0, 0)
sphere.getComponent(Material).albedoColor = originalColor

sphere.addComponent(new OnClick(e => {
  const material = sphere.getComponent(Material)
  material.albedoColor = (material.albedoColor === (originalColor)) ? new Color3(0, 1, 0) : originalColor
}))

engine.addEntity(sphere)"
/* create a sign */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)"
/* create table */,"class MyBox extends Entity {
  constructor(position: Vector3) {
    super()
    this.addComponentOrReplace(
      new Transform({
        position,
        rotation: Quaternion.Euler(0, 0, 0),
        scale: new Vector3(1, 1, 1)
      })
    )

    this.addComponentOrReplace(new BoxShape())
  }
}

const myBox = new MyBox(new Vector3(5, 0, 5))

engine.addEntity(myBox)"
/* create a texture */ ,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* create phone */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a function to open and close the door
function toggleDoor() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
  } else {
    doorTransform.rotation.y = 0
  }
}

// Create a clicking event to trigger the toggleDoor function
door.addComponent(
  new OnClick(() => {
    toggleDoor()
  })
)"
/* create table */,"// Define open and closed positions for both door sides
const doorLClosed = new Vector3(0.5, 0, 0)
const doorLOpen = new Vector3(1.25, 0, 0)
const doorRClosed = new Vector3(-0.5, 0, 0)
const doorROpen = new Vector3(-1.25, 0, 0)"
/* transform the door */,"// Add Shark
const shark = new Entity()
shark.addComponent(new GLTFShape('models/shark.glb'))
shark.addComponent(
  new Transform({
    position: new Vector3(8, 3, 8),
  })
)
engine.addEntity(shark)"
/* shark */,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* jukebox from gltf */ ,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* add movement to the player */,"const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}

// Update the OnClick event to trigger the toggleDoorWithSound function
door.addComponent(
  new OnClick(() => {
    toggleDoorWithSound()
  })
)"
/* clickable plane */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)"
